image,true_class,predicted_class,confidence,second_prediction,third_prediction,full_path
Alambadi_101.png,Alambadi,Amritmahal,0.0706,Pulikulam (0.0607),Kankrej (0.0596),./data/test\Alambadi\Alambadi_101.png
Alambadi_11.png,Alambadi,Toda,0.0736,Umblachery (0.0550),Gir (0.0492),./data/test\Alambadi\Alambadi_11.png
Alambadi_18.png,Alambadi,Khillari,0.0542,Hallikar (0.0428),Kangayam (0.0376),./data/test\Alambadi\Alambadi_18.png
Alambadi_20.png,Alambadi,Surti,0.0632,Rathi (0.0586),Pulikulam (0.0541),./data/test\Alambadi\Alambadi_20.png
Alambadi_23.png,Alambadi,Hallikar,0.0836,Ongole (0.0828),Deoni (0.0686),./data/test\Alambadi\Alambadi_23.png
Alambadi_37.png,Alambadi,Holstein_Friesian,0.2674,Dangi (0.1467),Ayrshire (0.1066),./data/test\Alambadi\Alambadi_37.png
Alambadi_58.png,Alambadi,Banni,0.1117,Jaffrabadi (0.0974),Mehsana (0.0952),./data/test\Alambadi\Alambadi_58.png
Alambadi_72.png,Alambadi,Ongole,0.0921,Hallikar (0.0780),Deoni (0.0662),./data/test\Alambadi\Alambadi_72.png
Alambadi_78.png,Alambadi,Hallikar,0.0584,Khillari (0.0522),Alambadi (0.0481),./data/test\Alambadi\Alambadi_78.png
Alambadi_83.jpg,Alambadi,Banni,0.1441,Murrah (0.1398),Nili_Ravi (0.1133),./data/test\Alambadi\Alambadi_83.jpg
Alambadi_88.png,Alambadi,Pulikulam,0.0967,Rathi (0.0720),Kankrej (0.0707),./data/test\Alambadi\Alambadi_88.png
Alambadi_95.png,Alambadi,Kangayam,0.1151,Alambadi (0.1095),Hallikar (0.0953),./data/test\Alambadi\Alambadi_95.png
Alambadi_97.png,Alambadi,Banni,0.0967,Nili_Ravi (0.0959),Kasargod (0.0863),./data/test\Alambadi\Alambadi_97.png
Amritmahal_25.png,Amritmahal,Pulikulam,0.2064,Amritmahal (0.1414),Kangayam (0.1042),./data/test\Amritmahal\Amritmahal_25.png
Amritmahal_26.png,Amritmahal,Kankrej,0.1386,Pulikulam (0.0877),Hallikar (0.0610),./data/test\Amritmahal\Amritmahal_26.png
Amritmahal_38.png,Amritmahal,Pulikulam,0.1785,Amritmahal (0.0821),Kangayam (0.0745),./data/test\Amritmahal\Amritmahal_38.png
Amritmahal_4.jpg,Amritmahal,Hariana,0.0767,Ongole (0.0748),Deoni (0.0692),./data/test\Amritmahal\Amritmahal_4.jpg
Amritmahal_46.png,Amritmahal,Pulikulam,0.1149,Kangayam (0.0972),Kankrej (0.0917),./data/test\Amritmahal\Amritmahal_46.png
Amritmahal_55.png,Amritmahal,Hallikar,0.1546,Khillari (0.1319),Nagori (0.0848),./data/test\Amritmahal\Amritmahal_55.png
Amritmahal_62.png,Amritmahal,Kankrej,0.0585,Amritmahal (0.0398),Alambadi (0.0368),./data/test\Amritmahal\Amritmahal_62.png
Amritmahal_67.png,Amritmahal,Hallikar,0.1148,Deoni (0.1103),Ongole (0.0889),./data/test\Amritmahal\Amritmahal_67.png
Amritmahal_74.jpg,Amritmahal,Kankrej,0.1214,Ongole (0.0790),Tharparkar (0.0669),./data/test\Amritmahal\Amritmahal_74.jpg
Amritmahal_75.jpg,Amritmahal,Kankrej,0.1242,Amritmahal (0.1095),Hallikar (0.0846),./data/test\Amritmahal\Amritmahal_75.jpg
Amritmahal_85.png,Amritmahal,Hallikar,0.112,Ongole (0.1022),Tharparkar (0.1015),./data/test\Amritmahal\Amritmahal_85.png
Amritmahal_86.png,Amritmahal,Hallikar,0.0959,Khillari (0.0588),Alambadi (0.0553),./data/test\Amritmahal\Amritmahal_86.png
Amritmahal_93.jpg,Amritmahal,Krishna_Valley,0.0591,Hallikar (0.0497),Amritmahal (0.0444),./data/test\Amritmahal\Amritmahal_93.jpg
Amritmahal_95.jpg,Amritmahal,Hariana,0.122,Tharparkar (0.1061),Ongole (0.1059),./data/test\Amritmahal\Amritmahal_95.jpg
Ayrshire_103.jpg,Ayrshire,Tharparkar,0.0825,Deoni (0.0641),Ongole (0.0623),./data/test\Ayrshire\Ayrshire_103.jpg
Ayrshire_150.jpg,Ayrshire,Guernsey,0.2217,Red_Dane (0.1556),Ayrshire (0.1446),./data/test\Ayrshire\Ayrshire_150.jpg
Ayrshire_156.jpg,Ayrshire,Jersey,0.2321,Guernsey (0.2046),Ayrshire (0.1560),./data/test\Ayrshire\Ayrshire_156.jpg
Ayrshire_16.jpg,Ayrshire,Guernsey,0.3306,Ayrshire (0.2814),Jersey (0.1686),./data/test\Ayrshire\Ayrshire_16.jpg
Ayrshire_197.jpg,Ayrshire,Brown_Swiss,0.0584,Holstein_Friesian (0.0538),Toda (0.0436),./data/test\Ayrshire\Ayrshire_197.jpg
Ayrshire_208.jpg,Ayrshire,Guernsey,0.2518,Ayrshire (0.2443),Jersey (0.1384),./data/test\Ayrshire\Ayrshire_208.jpg
Ayrshire_218.jpg,Ayrshire,Holstein_Friesian,0.491,Ayrshire (0.1517),Dangi (0.0947),./data/test\Ayrshire\Ayrshire_218.jpg
Ayrshire_4.jpg,Ayrshire,Jersey,0.1849,Guernsey (0.1849),Ayrshire (0.1646),./data/test\Ayrshire\Ayrshire_4.jpg
Ayrshire_56.jpg,Ayrshire,Toda,0.0882,Ayrshire (0.0872),Holstein_Friesian (0.0694),./data/test\Ayrshire\Ayrshire_56.jpg
00000002.jpg,Banni,Kangayam,0.0714,Pulikulam (0.0672),Hallikar (0.0541),./data/test\Banni\00000002.jpg
00000006.jpg,Banni,Murrah,0.0708,Banni (0.0665),Kasargod (0.0619),./data/test\Banni\00000006.jpg
00000016.jpg,Banni,Bhadawari,0.1496,Toda (0.1366),Banni (0.1002),./data/test\Banni\00000016.jpg
00000026.jpg,Banni,Jaffrabadi,0.1625,Banni (0.1435),Murrah (0.0970),./data/test\Banni\00000026.jpg
00000097.jpg,Banni,Murrah,0.1521,Banni (0.1218),Jaffrabadi (0.1036),./data/test\Banni\00000097.jpg
00000100.jpg,Banni,Jaffrabadi,0.1613,Banni (0.1466),Murrah (0.0989),./data/test\Banni\00000100.jpg
00000177.jpg,Banni,Kasargod,0.0989,Jaffrabadi (0.0775),Kangayam (0.0654),./data/test\Banni\00000177.jpg
00000182.jpg,Banni,Mehsana,0.1085,Banni (0.0898),Toda (0.0896),./data/test\Banni\00000182.jpg
00000196.jpg,Banni,Jaffrabadi,0.1424,Banni (0.1313),Toda (0.1242),./data/test\Banni\00000196.jpg
00000272.jpg,Banni,Murrah,0.1703,Banni (0.1233),Surti (0.0872),./data/test\Banni\00000272.jpg
Bargur_44.jpg,Bargur,Ayrshire,0.1108,Toda (0.0715),Red_Dane (0.0621),./data/test\Bargur\Bargur_44.jpg
Bargur_54.png,Bargur,Dangi,0.3075,Bargur (0.2831),Rathi (0.0822),./data/test\Bargur\Bargur_54.png
Bargur_75.jpg,Bargur,Guernsey,0.129,Jersey (0.1096),Red_Dane (0.1002),./data/test\Bargur\Bargur_75.jpg
Bargur_94.jpg,Bargur,Rathi,0.4016,Bargur (0.1887),Pulikulam (0.0547),./data/test\Bargur\Bargur_94.jpg
Bhadawari_18.jpg,Bhadawari,Toda,0.2678,Brown_Swiss (0.1398),Bhadawari (0.0734),./data/test\Bhadawari\Bhadawari_18.jpg
Bhadawari_40.jpg,Bhadawari,Mehsana,0.0784,Toda (0.0666),Bhadawari (0.0659),./data/test\Bhadawari\Bhadawari_40.jpg
Bhadawari_41.jpg,Bhadawari,Brown_Swiss,0.2944,Toda (0.1437),Jersey (0.0809),./data/test\Bhadawari\Bhadawari_41.jpg
Bhadawari_46.jpg,Bhadawari,Toda,0.5558,Bhadawari (0.0772),Brown_Swiss (0.0632),./data/test\Bhadawari\Bhadawari_46.jpg
Bhadawari_48.jpg,Bhadawari,Toda,0.098,Jersey (0.0933),Ayrshire (0.0695),./data/test\Bhadawari\Bhadawari_48.jpg
Bhadawari_60.jpg,Bhadawari,Murrah,0.1429,Bhadawari (0.1188),Surti (0.0952),./data/test\Bhadawari\Bhadawari_60.jpg
Bhadawari_82.jpg,Bhadawari,Brown_Swiss,0.3203,Toda (0.1211),Jersey (0.0683),./data/test\Bhadawari\Bhadawari_82.jpg
Bhadawari_86.jpg,Bhadawari,Toda,0.4333,Brown_Swiss (0.0692),Bhadawari (0.0553),./data/test\Bhadawari\Bhadawari_86.jpg
Bhadawari_9.jpg,Bhadawari,Red_Dane,0.1145,Brown_Swiss (0.0955),Jersey (0.0741),./data/test\Bhadawari\Bhadawari_9.jpg
Brown_Swiss_105.jpg,Brown_Swiss,Jersey,0.0897,Brown_Swiss (0.0799),Red_Dane (0.0717),./data/test\Brown_Swiss\Brown_Swiss_105.jpg
Brown_Swiss_108.jpg,Brown_Swiss,Jersey,0.1612,Brown_Swiss (0.1402),Guernsey (0.1230),./data/test\Brown_Swiss\Brown_Swiss_108.jpg
Brown_Swiss_145.jpg,Brown_Swiss,Jersey,0.2157,Red_Dane (0.1666),Guernsey (0.1065),./data/test\Brown_Swiss\Brown_Swiss_145.jpg
Brown_Swiss_150.jpg,Brown_Swiss,Toda,0.0943,Bhadawari (0.0741),Brown_Swiss (0.0598),./data/test\Brown_Swiss\Brown_Swiss_150.jpg
Brown_Swiss_157.jpg,Brown_Swiss,Jersey,0.3942,Brown_Swiss (0.1240),Red_Dane (0.1183),./data/test\Brown_Swiss\Brown_Swiss_157.jpg
Brown_Swiss_18.jpg,Brown_Swiss,Jersey,0.3832,Brown_Swiss (0.2011),Guernsey (0.1070),./data/test\Brown_Swiss\Brown_Swiss_18.jpg
Brown_Swiss_196.jpg,Brown_Swiss,Toda,0.0721,Holstein_Friesian (0.0705),Mehsana (0.0605),./data/test\Brown_Swiss\Brown_Swiss_196.jpg
Brown_Swiss_206.jpg,Brown_Swiss,Bhadawari,0.1345,Toda (0.1112),Banni (0.0659),./data/test\Brown_Swiss\Brown_Swiss_206.jpg
Brown_Swiss_207.jpg,Brown_Swiss,Ayrshire,0.4472,Guernsey (0.2264),Red_Dane (0.0587),./data/test\Brown_Swiss\Brown_Swiss_207.jpg
Brown_Swiss_208.jpg,Brown_Swiss,Jersey,0.2526,Brown_Swiss (0.1990),Red_Dane (0.1378),./data/test\Brown_Swiss\Brown_Swiss_208.jpg
Brown_Swiss_223.jpg,Brown_Swiss,Jersey,0.1212,Brown_Swiss (0.1145),Toda (0.1123),./data/test\Brown_Swiss\Brown_Swiss_223.jpg
Brown_Swiss_26.jpg,Brown_Swiss,Jersey,0.3065,Guernsey (0.1890),Brown_Swiss (0.1499),./data/test\Brown_Swiss\Brown_Swiss_26.jpg
Brown_Swiss_50.jpg,Brown_Swiss,Bhadawari,0.143,Toda (0.1105),Jaffrabadi (0.0639),./data/test\Brown_Swiss\Brown_Swiss_50.jpg
Brown_Swiss_58.jpg,Brown_Swiss,Jersey,0.0773,Brown_Swiss (0.0703),Bhadawari (0.0604),./data/test\Brown_Swiss\Brown_Swiss_58.jpg
